"","time"
"1697",14611
"1698",15235
"1699",16983
"1700",17585
"1701",18785
"1702",19386
"1703",19988
"1704",20590
"1705",21192
"1706",21894
"1707",22671
"1708",23273
"1709",23876
"1710",24478
"1711",26541
"1712",27144
"1713",27746
"1714",28495
"1715",29099
"1716",29700
"1717",30491
"1718",31093
"1719",31964
"1720",32565
"1721",33168
"1722",34016
"1723",34618
"1724",2324
"1725",4284
"1726",5594
"1727",6196
"1728",7687
"1729",8848
"1730",9491
"1731",10093
"1732",11128
"1733",12356
"1734",13045
"1735",13647
"1736",14249
"1737",14851
"1738",16751
"1739",17353
"1740",17955
"1741",19176
"1742",19783
"1743",20399
"1744",21002
"1745",21604
"1746",22206
"1747",26550
"1748",27152
"1749",29767
"1750",30625
"1751",31228
"1752",31830
"1753",35324
"1754",35926
"1755",3448
"1756",4051
"1757",4684
"1758",6205
"1759",7302
"1760",7904
"1761",8508
"1762",9109
"1763",11289
"1764",12142
"1765",12749
"1766",13450
"1767",14051
"1768",25098
"1769",27337
"1770",27938
"1771",28760
"1772",29373
"1773",29975
"1774",30578
"1775",32487
"1776",34244
"1777",34846
"1778",35516
"1779",4876
"1780",10316
"1781",10917
"1782",11744
"1783",14474
"1784",15299
"1785",16075
"1786",16815
"1787",17432
"1788",18034
"1789",18636
"1790",19265
"1791",19866
"1792",20528
"1793",23042
"1794",23814
"1795",24415
"1796",26106
"1797",28100
"1798",29480
"1799",30489
"1800",31124
"1801",31725
"1802",32327
"1803",32929
"1804",35162
"1805",3918
"1806",5953
"1807",8951
"1808",11525
"1809",12127
"1810",16133
"1811",16828
"1812",17551
"1813",18551
"1814",19248
"1815",19849
"1816",20453
"1817",21154
"1818",23915
"1819",25167
"1820",25769
"1821",26719
"1822",27324
"1823",27925
"1824",28583
"1825",29319
"1826",30095
"1827",30697
"1828",31299
"1829",31901
"1830",32751
"1831",33353
"1832",34024
"1833",35631
"1834",3651
"1835",4253
"1836",5654
"1837",7092
"1838",7706
"1839",8308
"1840",26655
"1841",27368
"1842",27984
"1843",28866
"1844",30654
"1845",31257
"1846",32280
"1847",33731
"1848",34333
"1849",34935
"1850",4143
"1851",4745
"1852",7074
"1853",7676
"1854",8278
"1855",9375
"1856",10125
"1857",10726
"1858",12656
"1859",13258
"1860",14489
"1861",25350
"1862",25951
"1863",26977
"1864",27903
"1865",28726
"1866",29634
"1867",33099
"1868",33701
"1869",34997
"1870",35600
"1871",2778
"1872",4264
"1873",7620
"1874",8446
"1875",9237
"1876",9838
"1877",10470
"1878",11073
"1879",11677
"1880",12423
"1881",13150
"1882",14494
"1883",27310
"1884",28717
"1885",29632
"1886",30234
"1887",31407
"1888",32008
"1889",32610
"1890",5161
"1891",6901
"1892",7584
"1893",8186
"1894",8788
"1895",9826
"1896",10429
"1897",12060
"1898",12832
"1899",14691
"1900",20465
"1901",35788
"1902",11211
"1903",11888
"1904",12902
"1905",19866
"1906",20467
"1907",21069
"1908",22241
"1909",22844
"1910",28248
"1911",28926
"1912",29546
"1913",30149
"1914",30751
"1915",31367
"1916",31968
"1917",32570
"1918",33172
"1919",35311
"1920",35912
"1921",5702
"1922",6327
"1923",9371
"1924",9973
"1925",10982
"1926",12952
"1927",13555
"1928",14157
"1929",15936
"1930",16566
"1931",17168
"1932",17970
"1933",20675
"1934",21277
"1935",22226
"1936",23024
"1937",23627
"1938",24230
"1939",24832
"1940",25434
"1941",26066
"1942",27232
"1943",28758
"1944",29974
