SampleSize,Set,Memory_Percentage,Failure_Percentage
90,12,0.870968,0.0689655
90,12,0.857143,0
90,12,0.884615,0
90,12,0.828571,0.0333333
90,12,0.821429,0
90,13,0.84375,0
90,13,0.857143,0
90,13,0.764706,0
90,13,0.25,0
90,13,0.8,0.030303
90,13,0.615385,0.111111
90,13,0.916667,0.0434783
90,13,0.863636,0
90,13,0.833333,0
90,13,0.846154,0
90,13,0.806452,0.107143
90,13,0.888889,0
90,13,0.814815,0
90,13,0.809524,0.0555556
90,13,0.869565,0
90,13,0.857143,0
90,13,0.785714,0
90,13,0.8,0
90,13,0.756757,0
90,13,0.833333,0
90,13,NA,NA
90,13,0.888889,0
90,13,0.771429,0.0357143
90,13,0.944444,0
90,13,0.818182,0
90,13,0.833333,0.0740741
90,13,0.820513,0.030303
90,13,0.846154,0
90,13,0.823529,0
90,13,0.666667,0.0769231
90,13,1,0
90,13,0.864865,0
90,13,0.864865,0.030303
90,13,0.931034,0
90,13,0.774194,0.04
90,13,0.8,0
90,13,0.782609,0
90,13,0.846154,0
90,13,0.804878,0
90,13,0.787879,0.0714286
90,13,0.851852,0
90,13,0.892857,0
90,13,0.870968,0
90,13,0.928571,0
90,13,0.833333,0
90,13,0.6,0
90,13,0.818182,0
90,13,0.88,0
90,13,0.848485,0.0344828
90,13,0.870968,0
90,13,0.84375,0.0357143
90,13,0.805556,0
90,13,0.806452,0.0384615
90,13,0.84375,0
90,13,0.885714,0
90,13,0.870968,0
90,13,0.85,0
90,13,0.868421,0
90,13,0.789474,0
90,13,0.933333,0
90,13,0.777778,0.0454545
90,13,1,0
90,13,0.782609,0.0526316
90,13,0.866667,0
90,13,0.692308,0
90,13,0.793103,0
90,13,0.666667,0
90,13,0.791667,0.05
90,13,0.909091,0
90,13,0.875,0
90,13,0.75,0
90,13,0.821429,0
90,13,0.916667,0
90,13,0.857143,0
90,13,0.785714,0.0434783
90,13,0.791667,0
90,13,0.891892,0.0294118
90,13,0.444444,0
90,13,0.823529,0
90,13,0.75,0.04
90,13,1,0
90,13,0.818182,0.0526316
90,13,0.851852,0
90,13,0.826087,0
90,13,0.774194,0
90,13,0.818182,0.0526316
90,13,0.857143,0
90,13,0.852941,0
90,13,0.807692,0.0454545
90,13,0.833333,0
90,14,0.833333,0.324324
90,14,0.818182,0.0526316
90,14,0.666667,0
90,14,NA,NA
90,14,0.875,0
90,14,0.848485,0
90,14,0.866667,0.0714286
90,14,0.896552,0
90,14,0.789474,0
90,14,0.75,0
90,14,0.772727,0
90,14,0.96,0
90,14,0.777778,0
