"","fault","ClassPer"
"1254",4,99.8335
"1255",2,98.9247
"1256",1,100
"1257",6,97.6578
"1258",6,87.1177
"1259",1,72.5364
"1260",6,99.486
"1261",3,97.3073
"1262",3,88.8562
"1263",4,87.6911
"1264",4,96.2258
"1265",3,68.7201
"1266",6,75.7265
"1267",3,83.5227
"1268",2,73.783
"1269",4,99.5001
"1270",6,88.8889
"1271",5,99.3339
"1272",2,91.998
"1273",2,88.475
"1274",1,88.5429
"1275",4,72.5226
"1276",1,88.5565
"1277",6,89.487
"1278",3,94.8472
"1279",6,99.6573
"1280",6,99.8288
"1281",6,95.0835
"1282",1,71.3746
"1283",4,99.8335
"1284",4,95.503
"1285",4,100
"1286",6,93.5823
"1287",4,70.9292
"1288",2,69.8923
"1289",3,76.7895
"1290",6,86.8166
"1291",4,88.8644
"1292",3,66.6329
"1293",3,97.5162
"1294",2,92.7794
"1295",3,86.0287
"1296",6,89.1024
"1297",3,96.4833
"1298",4,97.342
"1299",3,100
"1300",1,87.9664
"1301",4,99.8335
"1302",5,99.6667
"1303",3,100
"1304",2,82.7665
"1305",2,78.9452
"1306",3,95.833
"1307",4,70.6229
"1308",6,98.6361
"1309",6,84.4004
"1310",1,92.655
"1311",4,91.6783
"1312",2,95.6421
"1313",4,92.6059
"1314",4,94.2528
"1315",4,98.8368
"1316",3,83.666
"1317",6,97.1407
"1318",5,98.6716
"1319",2,88.01
"1320",3,81.6497
"1321",4,97.6716
"1322",1,96.1101
"1323",2,92.8917
"1324",6,86.9226
"1325",2,74.4958
"1326",3,99.6579
"1327",6,100
"1328",4,100
"1329",6,67.1514
"1330",6,100
"1331",6,97.2959
"1332",4,86.7766
"1333",1,97.8172
"1334",1,71.5077
"1335",5,99.8335
"1336",4,99.6667
"1337",1,78.0346
"1338",6,78.8502
"1339",4,99.3339
"1340",5,99.8335
"1341",4,74.3335
"1342",4,99.1668
"1343",3,100
"1344",6,79.8404
"1345",6,94.6841
"1346",3,97.4715
"1347",4,78.4269
"1348",3,92.8367
"1349",6,72.4581
"1350",3,100
"1351",3,72.756
"1352",3,81.8629
"1353",3,89.6169
"1354",5,99.1668
"1355",3,92.1702
"1356",3,97.13
"1357",4,95.7582
"1358",4,90.0832
"1359",6,96.9645
"1360",6,88.6301
"1361",1,99.7783
"1362",3,81.4514
"1363",2,83.4666
"1364",2,84.7528
"1365",3,84.1774
"1366",3,70.5881
"1367",2,82.9646
"1368",3,100
"1369",3,94.8641
"1370",6,87.2184
"1371",6,97.6375
"1372",6,100
"1373",3,100
"1374",2,86.8767
"1375",2,88.9478
"1376",6,99.4875
"1377",3,94.1713
"1378",1,71.3506
"1379",6,66.4613
"1380",2,78.9873
"1381",2,87.6456
"1382",2,87.8211
"1383",6,97.13
"1384",5,98.8401
"1385",5,98.6688
"1386",4,99.8335
"1387",1,84.5154
"1388",6,82.0552
"1389",2,91.237
"1390",4,70.7107
"1391",3,87.6284
"1392",3,70.3018
"1393",6,97.6189
"1394",3,78.5896
"1395",3,100
"1396",5,99.6672
"1397",6,99.8288
"1398",2,98.9247
"1399",6,98.9784
"1400",4,100
"1401",3,96.9369
"1402",3,98.4681
"1403",3,82.2778
"1404",2,83.7503
"1405",6,94.6841
"1406",3,85.0971
"1407",4,83.0745
"1408",3,78.4862
"1409",2,87.7623
"1410",4,91.5182
"1411",3,93.5142
"1412",6,99.3147
"1413",3,94.4044
"1414",6,99.486
"1415",3,91.9006
"1416",1,93.2287
"1417",4,92.2145
